PAYMENT_REF,AMOUNT,SETTLEMENT_DATE,STATUS
PSK_TXN001,15000.00,2025-11-20,SETTLED
PSK_TXN002,25500.50,2025-11-20,SETTLED
PSK_TXN003,8750.00,2025-11-21,SETTLED
PSK_TXN004,42000.00,2025-11-21,SETTLED
PSK_TXN005,3200.00,2025-11-22,SETTLED
PSK_TXN006,18900.75,2025-11-22,PENDING
PSK_TXN007,55000.00,2025-11-23,SETTLED
PSK_TXN008,12350.00,2025-11-23,SETTLED
PSK_TXN009,7800.25,2025-11-24,FAILED
PSK_TXN010,31500.00,2025-11-24,SETTLED
PSK_TXN011,9450.00,2025-11-25,SETTLED
PSK_TXN012,67200.00,2025-11-25,SETTLED
